id;address;year;base_type;build_year;cesspools_volume;cold_water_type;common_hold_square;electo_type;electro_inputs;elevators;energo_class;entrance;ext_info;face_type;fire_exting_type;floors;floors_min;garbage_chute_count;garbage_chute_type;gas_supply_type;gutter_type;hot_water_type;kap_rem_fund;land_plot_area;latitude;living_rooms;living_square;longtitude;manager;not_living_rooms;not_living_square;other;overlap_type;parking_area;playground;roof_type;roofing_type;rooms;seria;sportground;square;type;underground_square;vent_type;wall_type;warming_type;water_disposal_type;working_year;wreck
8131183;п. Теплоозерск, ул. Бонивура, д. 18;;Не заполнено;1999;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;49.015631;Не заполнено;Не заполнено;131.882179;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;2;Не заполнено;Не заполнено;191.7;Многоквартирный дом;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1999;Нет
8131184;п. Теплоозерск, ул. Вокзальная, д. 3;;Не заполнено;1961;Не заполнено;Центральное;75.0;Центральное;Не заполнено;0;Не заполнено;2;Не заполнено;Соответствует материалу стен;Не заполнено;3;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;972.3;49.00227;Не заполнено;629.5;131.882421;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;342.8;Не заполнено;Железобетонные;Не заполнено;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);24;кирпичный;Не имеется;972.3;Многоквартирный дом;Не заполнено;Не заполнено;Каменные, кирпичные;Центральное;Центральное;1961;Нет
8131185;п. Теплоозерск, ул. Вокзальная, д. 4;;Не заполнено;1957;Не заполнено;Центральное;44.9;Центральное;Не заполнено;0;Не заполнено;2;Не заполнено;Соответствует материалу стен;Не заполнено;2;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;396.7;49.002270;Не заполнено;274.0;131.882421;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;122.7;Не заполнено;Не заполнено;Не заполнено;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);8;кирпичный;Не имеется;396.7;Многоквартирный дом;Не заполнено;Не заполнено;Каменные, кирпичные;Центральное;Центральное;1957;Нет
8131186;п. Теплоозерск, ул. Вокзальная, д. 6;;Ленточный;1956;Не заполнено;Центральное;45.0;Центральное;Не заполнено;0;Не заполнено;2;Не заполнено;Соответствует материалу стен;Не заполнено;2;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;404.4;49.002234;Не заполнено;276.3;131.890991;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;82.9;Не заполнено;Деревянные;Не заполнено;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);8;кирпичный;Не имеется;359.2;Многоквартирный дом;Не заполнено;Не заполнено;Блочные;Центральное;Центральное;1956;Нет
6522534;п. Теплоозерск, ул. Заводская, д. 1;;Не заполнено;1991;Не заполнено;Центральное;Не заполнено;Центральное;Не заполнено;Не заполнено;Не заполнено;3;Не заполнено;Соответствует материалу стен;Не заполнено;5;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;2809.0;49.009858;Не заполнено;3303.9;131.886913;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;1219.6;Не заполнено;Железобетонные;Не заполнено;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);60;панельный;Не имеется;4523.5;Многоквартирный дом;Не заполнено;Не заполнено;Панельные;Центральное;Центральное;1991;Нет
8131188;п. Теплоозерск, ул. Заводская, д. 2;;Не заполнено;1994;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;49.009409;Не заполнено;Не заполнено;131.887775;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;2;Не заполнено;Не заполнено;205.0;Многоквартирный дом;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1994;Нет
8131189;п. Теплоозерск, ул. Заводская, д. 3;;Ленточный;1994;Не заполнено;Центральное;222.0;Центральное;Не заполнено;0;Не заполнено;3;Не заполнено;Соответствует материалу стен;Не заполнено;5;Не заполнено;Не заполнено;Отсутствует;Отсутствует;Не заполнено;Центральное (открытая система);Не определен;4902.0;49.010153;Не заполнено;2026.2;131.885790;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;1379.7;Не заполнено;Железобетонные;Не заполнено;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);60;панельный;Не имеется;3405.9;Многоквартирный дом;927.0;Не заполнено;Панельные;Центральное;Центральное;1994;Нет
8131190;п. Теплоозерск, ул. Заводская, д. 4;;Не заполнено;1993;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1800.0;49.009113;Не заполнено;101.2;131.888;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;65.9;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Нет данных;Нет данных;2;Не заполнено;Не заполнено;167.1;Многоквартирный дом;Не заполнено;Не заполнено;Панельные;Не заполнено;Не заполнено;1993;Нет
8131192;п. Теплоозерск, ул. Заводская, д. 6;;Не заполнено;1994;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1550.0;49.008918;Не заполнено;101.2;131.888234;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;45.4;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Нет данных;Нет данных;2;Не заполнено;Не заполнено;146.6;Многоквартирный дом;Не заполнено;Не заполнено;Панельные;Не заполнено;Не заполнено;1994;Нет
8131193;п. Теплоозерск, ул. Заводская, д. 7;;Не заполнено;1997;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2083.0;49.009562;Не заполнено;116.9;131.885916;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;75.7;Не заполнено;Деревянные;Не заполнено;Не заполнено;Нет данных;Нет данных;2;Не заполнено;Не заполнено;192.6;Многоквартирный дом;Не заполнено;Не заполнено;Панельные;Не заполнено;Не заполнено;1997;Нет
