id;address;year;base_type;build_year;cesspools_volume;cold_water_type;common_hold_square;electo_type;electro_inputs;elevators;energo_class;entrance;ext_info;face_type;fire_exting_type;floors;floors_min;garbage_chute_count;garbage_chute_type;gas_supply_type;gutter_type;hot_water_type;kap_rem_fund;land_plot_area;latitude;living_rooms;living_square;longtitude;manager;not_living_rooms;not_living_square;other;overlap_type;parking_area;playground;roof_type;roofing_type;rooms;seria;sportground;square;type;underground_square;vent_type;wall_type;warming_type;water_disposal_type;working_year;wreck
9000412;ул. Челюскинцев, д. 53;;Ленточный;1958;4.0;Отсутствует;0.0;Центральное;1;0;A;2;Не заполнено;Окрашенный;Отсутствует;1;1;0;Отсутствует;Автономное;Наружные водостоки;Отсутствует;Не определен;428.1;44.638723;8;321.52;33.540371;Не заполнено;0;0.0;Не заполнено;Деревянные;0.00;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);8;Не заполнено;Не имеется;321.52;Многоквартирный дом;0.0;Вытяжная вентиляция;Каменные, кирпичные;Печное;Автономное;1958;Нет
9315711;ул. Черноморская, д. 4;;Не заполнено;1949;Не заполнено;Не заполнено;0.0;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.600336;Не заполнено;81.5;33.504411;Не заполнено;Не заполнено;0.0;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;81.5;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9088143;ул. Черноморская, д. 28;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.597698;Не заполнено;Не заполнено;33.501797;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9088140;ул. Черноморская, д. 30;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.597442;Не заполнено;Не заполнено;33.501573;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9088144;ул. Черноморская, д. 42;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.595843;Не заполнено;Не заполнено;33.50036;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9087653;ул. Чернышевского, д. 2;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.627947;Не заполнено;Не заполнено;33.537029;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9054728;ул. Чернышевского, д. 15;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.627921;Не заполнено;Не заполнено;33.538439;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9088107;ул. Черцова, д. 1;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.602011;Не заполнено;Не заполнено;33.498123;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9001046;ул. Чесменская, д. 4-А;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;;Не заполнено;Не заполнено;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;1;Не заполнено;Не заполнено;0.0;Жилой дом блокированной застройки;Не заполнено;Не заполнено;Иные;Не заполнено;Не заполнено;1917;Да
9054729;ул. Чехова, д. 1;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.635804;Не заполнено;Не заполнено;33.547441;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9054730;ул. Чехова, д. 2;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.635689;Не заполнено;Не заполнено;33.547782;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
8993233;ул. Чехова, д. 6;;Не заполнено;Не заполнено;Не заполнено;Центральное;Не заполнено;Центральное;1;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;5;Не заполнено;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Отсутствует;Не заполнено;866.0;44.636606;Не заполнено;3088.0;33.548069;Не заполнено;Не заполнено;810.0;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Нет данных;Нет данных;118;Не заполнено;Не заполнено;3898.0;Специализированный жилищный фонд;Не заполнено;Не заполнено;Иные;Отсутствует;Центральное;1970;Нет
9088241;ул. Шабалина, д. 1а;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;47.9;Не заполнено;Не заполнено;0;C;2;Не заполнено;Нет данных;Не заполнено;2;0;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.579705;16;516.0;33.512298;Не заполнено;0;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;16;Не заполнено;Не заполнено;563.9;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9088243;ул. Шабалина, д. 3;;Ленточный;1949;0.0;Центральное;67.3;Центральное;1;0;C;2;не имеется;Оштукатуренный;Отсутствует;2;0;0;Отсутствует;Центральное;Наружные водостоки;Отсутствует;Не определен;529.6;44.579416;11;666.2;33.511912;"ГУПС ""УК ""ЦЕНТР""";1;88.9;не имеется;Деревянные;0.00;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);11;каменный;Не имеется;822.4;Многоквартирный дом;0.0;Приточная вентиляция;Каменные, кирпичные;Центральное;Центральное;1949;Нет
9088247;ул. Шабалина, д. 5;;Не заполнено;1959;Не заполнено;Не заполнено;49.3;Не заполнено;Не заполнено;0;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.579134;8;317.2;33.511571;Не заполнено;0;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;8;Не заполнено;Не заполнено;366.5;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9088252;ул. Шабалина, д. 7;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;22.1;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.578896;Не заполнено;526.8;33.511185;Не заполнено;Не заполнено;0.0;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;548.9;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
