,id,year,latitude,longtitude,wall_type,floors,gutter_type,address,entrance,gas_supply_type,living_rooms,warming_type,cold_water_type,hot_water_type,square,not_living_square,common_hold_square,living_square,base_addr,dist,norm_addr
11936,8022324,1958.0,55.84933,37.52258,"Каменные, кирпичные",3.0,Наружные водостоки,"ул. Онежская, д. 12, к. 1",2.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2669.4,0.0,1082.6,1586.8,"Онежская улица, дом 12, корпус 1",0.0,"улица онежская, дом_12, корпус_1"
8486,8023217,1966.0,55.85237,37.49843,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Лавочкина, д. 28/42",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),5515.8,0.0,1993.5,3522.3,"улица Лавочкина, дом 28/42",0.0,"улица лавочкина, дом_28/42"
3657,7554310,1963.0,55.74435,37.7891,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Владимирская 2-я, д. 57",3.0,Центральное,54,Центральное,Центральное,Центральное (открытая система),2541.6,254.0,2541.6,2257.2,"2-я Владимирская улица, дом 57",0.0,"улица владимирская 2-я, дом_57"
18832,8042360,1961.0,55.80439,37.77796,Панельные,5.0,Наружные водостоки,"проезд. Щелковский, д. 3, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3516.59,0.0,580.0,3516.59,"Северное Измайлово Щёлковский проезд, дом 3, корпус 2",0.0,"проезд. щелковский, дом_3, корпус_2"
2103,7559895,1965.0,55.81829,37.8032,Панельные,5.0,Внутренние водостоки,"ул. Байкальская, д. 25, к. 2",7.0,Центральное,139,Центральное,Центральное,Центральное (открытая система),6069.0,0.0,0.0,6069.0,"Байкальская улица, дом 25, корпус 2",0.4,"улица байкальская, дом_25, корпус_2"
6852,7689573,1959.0,55.73673,37.48439,Панельные,5.0,Внутренние водостоки,"ул. Кастанаевская, д. 32, к. 1",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3483.3,0.0,0.0,3483.3,"Кастанаевская улица, дом 32, корпус 1",0.0,"улица кастанаевская, дом_32, корпус_1"
11960,8022532,1967.0,55.8611,37.50895,Панельные,5.0,Наружные водостоки,"ул. Онежская, д. 40",9.0,Центральное,179,Центральное,Центральное,Центральное (закрытая система),12291.3,0.0,4611.1,7680.2,"Онежская улица, дом 40",0.0,"улица онежская, дом_40"
10714,7557427,1969.0,55.67879,37.60454,Блочные,5.0,Наружные водостоки,"ул. Нагорная, д. 19, к. 1",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2551.5,0.0,0.0,2551.5,"Нагорная улица, дом 19, корпус 32",0.4,"улица нагорная, дом_19, корпус_1"
14487,7558351,1963.0,55.67631,37.60289,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Ремизова, д. 11, к. 2",4.0,Центральное,79,Центральное,Центральное,Центральное (закрытая система),4051.4,724.1,0.0,3327.3,"улица Ремизова, дом 11, корпус 2",0.0,"улица ремизова, дом_11, корпус_2"
14591,7819670,1966.0,55.63803,37.38107,Панельные,5.0,Наружные водостоки,"ул. Родниковая, д. 8",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2574.0,0.0,1550.0,2574.0,"Родниковая улица, дом 8",0.0,"улица родниковая, дом_8"
8963,7675351,1962.0,55.66957,37.50767,Панельные,5.0,Не заполнено,"ул. Лобачевского, д. 24",9.0,Центральное,Не заполнено,Центральное,Центральное,Центральное (закрытая система),8015.0,0.0,0.0,8015.0,"улица Лобачевского, дом 24",0.0,"улица лобачевского, дом_24"
4519,7920097,1966.0,55.85587,37.41743,Панельные,5.0,Наружные водостоки,"ул. Героев Панфиловцев, д. 27, к. 4",6.0,Центральное,116,Центральное,Центральное,Центральное (закрытая система),5094.4,104.4,1563.4,4990.0,"улица Героев Панфиловцев, дом 27, корпус 4",0.0,"улица героев панфиловцев, дом_27, корпус_4"
8142,8022938,1965.0,55.85284,37.51217,"Каменные, кирпичные",5.0,Наружные водостоки,"б-р. Кронштадтский, д. 49",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3808.3,0.0,3468.0,3468.3,"Кронштадтский бульвар, дом 49",0.0,"бульвар кронштадтский, дом_49"
1454,8108647,1958.0,55.82316,37.59756,Смешанные,5.0,Наружные водостоки,"ул. Академика Королева, д. 28, к. 3",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3496.16,249.0,0.0,3247.16,"улица Академика Королёва, дом 28, корпус 3",0.0,"улица академика королева, дом_28, корпус_3"
13174,7681653,1963.0,55.7456,37.77965,Блочные,5.0,Внутренние водостоки,"ул. Перовская, д. 38, к. 1",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2575.0,16.2,1290.05,2558.8,"Перовская улица, дом 38, корпус 1",0.0,"улица перовская, дом_38, корпус_1"
8511,7653661,1969.0,55.66118,37.36809,"Каменные, кирпичные",5.0,Внутренние водостоки,"ул. Лазенки 6-я, д. 8",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3538.0,0.0,3538.0,3538.0,"6-я улица Лазенки, дом 8",0.0,"улица лазенки 6-я, дом_8"
6443,7555409,1967.0,55.71722,37.45487,Панельные,5.0,Наружные водостоки,"ул. Инициативная, д. 16, к. 3",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2865.6,0.0,0.0,2593.6,"Инициативная улица, дом 16, корпус 3",0.0,"улица инициативная, дом_16, корпус_3"
3910,7597868,1969.0,55.7189,37.7388,Панельные,9.0,Внутренние водостоки,"б-р. Волжский, д. 4, к. 2",4.0,Центральное,142,Центральное,Центральное,Центральное (закрытая система),7035.4,130.4,2120.7,4661.2,"Волжский бульвар, дом 39, корпус 2",0.4,"бульвар волжский, дом_4, корпус_2"
