,id,address,base_addr,dist
14546,7653834,"улица Лазенки 7-я, д. 2","7-я улица Лазенки, дом 2",0.2857142857142857
24909,7631541,"улица Рыбинская 3-я, д. 19","3-я Рыбинская улица, дом 19",0.2857142857142857
6650,7680704,"улица Владимирская 3-я, д. 16","3-я Владимирская улица, дом 16",0.2857142857142857
9505,9065740,"переулок Дорогобужский 2-й, д. 9","2-й Дорогобужский переулок, дом 9",0.2857142857142857
19545,8022449,"проезд. Новомихалковский 3-й, д. 4","4-й Новомихалковский проезд, дом 3",0.2857142857142857
14547,7653825,"улица Лазенки 7-я, д. 4","7-я улица Лазенки, дом 4",0.2857142857142857
17463,7837387,"переулок Михалковский 3-й, д. 4А","3-й Михалковский переулок, дом 4А",0.2857142857142857
21598,8041645,"улица Парковая 3-я, д. 40","3-я Парковая улица, дом 40",0.2857142857142857
14550,7653787,"улица Лазенки 7-я, д. 10","7-я улица Лазенки, дом 10",0.2857142857142857
13544,8098690,"проезд. Красногвардейский 2-й, д. 10А","2-й Красногвардейский проезд, дом 10А",0.2857142857142857
6605,8643760,"улица Владимирская 2-я, д. 33","2-я Владимирская улица, дом 33",0.2857142857142857
21208,7876001,"проезд. Павелецкий 3-й, д. 9","3-й Павелецкий проезд, дом 9",0.2857142857142857
15115,7982783,"улица Летчика Бабушкина, д. 25/16","улица Лётчика Бабушкина, дом 25/16",0.2857142857142857
12641,7875112,"проезд. Кожуховский 2-й, д. 9","2-й Кожуховский проезд, дом 9",0.2857142857142857
14221,8905365,"улица Курьяновская 1-я, д. 6а","1-я Курьяновская улица, дом 6А",0.2857142857142857
14242,8905439,"улица Курьяновская 1-я, д. 34А","1-я Курьяновская улица, дом 34А",0.2857142857142857
29515,7727290,"улица Филевская 3-я, д. 4","3-я Филёвская улица, дом 4",0.2857142857142857
23943,7554158,"улица Прядильная 2-я, д. 9","2-я Прядильная улица, дом 9",0.2857142857142857
21712,7561973,"улица Парковая 6-я, д. 26","6-я Парковая улица, дом 26",0.2857142857142857
